desc,eval,img,intro,name,num,star
希望让人自由。,1339843人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,
                            1994 / 美国 / 犯罪 剧情
                        ",肖申克的救赎,1,9.6
风华绝代。,990158人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,
                            1993 / 中国大陆 香港 / 剧情 爱情 同性
                        ",霸王别姬,2,9.6
怪蜀黍和小萝莉不得不说的故事。,1225142人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,
                            1994 / 法国 / 剧情 动作 犯罪
                        ",这个杀手不太冷,3,9.4
一部美国近现代史。,1055448人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,"
                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,
                            1994 / 美国 / 剧情 爱情
                        ",阿甘正传,4,9.4
最美的谎言。,617490人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ",美丽人生,5,9.5
失去的才是永恒的。,994613人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,
                            1997 / 美国 / 剧情 爱情 灾难
                        ",泰坦尼克号,6,9.3
最好的宫崎骏，最好的久石让。,982668人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,
                            2001 / 日本 / 剧情 动画 奇幻
                        ",千与千寻,7,9.3
拯救一个人，就是拯救整个世界。,551248人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,
                            1993 / 美国 / 剧情 历史 战争
                        ",辛德勒的名单,8,9.5
诺兰给了我们一场无法盗取的梦。,1068212人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,
                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
                        ",盗梦空间,9,9.3
永远都不能忘记你所爱的人。,698083人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,
                            2009 / 美国 英国 / 剧情
                        ",忠犬八公的故事,10,9.3
小瓦力，大人生。,708544人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,
                            2008 / 美国 / 爱情 科幻 动画 冒险
                        ",机器人总动员,11,9.3
英俊版憨豆，高情商版谢耳朵。,955424人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,
                            2009 / 印度 / 剧情 喜剧 爱情 歌舞
                        ",三傻大闹宝莱坞,12,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。,788777人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,
                            1998 / 意大利 / 剧情 音乐
                        ",海上钢琴师,13,9.2
天籁一般的童声，是最接近上帝的存在。,660128人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 热拉尔·朱尼奥 Gé...,
                            2004 / 法国 瑞士 德国 / 剧情 音乐
                        ",放牛班的春天,14,9.3
如果再也不能见到你，祝你早安，午安，晚安。,725042人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,
                            1998 / 美国 / 剧情 科幻
                        ",楚门的世界,15,9.2
一生所爱。,737089人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,
                            1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        ",大话西游之大圣娶亲,16,9.2
